Content,Video title,Video publish time,Duration,Engaged views,Subscribers,Average percentage viewed (%),Impressions,Impressions click-through rate (%),Unique viewers,Average views per viewer,Returning viewers,Shares,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Comments added,Views,Watch time (hours),Average view duration
nS65gTYUhQo,Dumb Instrumental Minus 14 Below,"Aug 5, 2024",259,235,,29.79,5209,3.17,,,,0,0,0,5,0,100,0,235,5.0374,0:01:17
HzwBK8_johY,And Not Know Why,"Oct 7, 2024",167,214,,41.76,21309,0.51,,,,0,0,0,4,1,80,0,214,4.1459,0:01:09
qZxpoLI6ncw,"October 31, 2020","Nov 1, 2020",431,211,0,21.68,162,3.7,,,,1,0,0,2,0,100,3,211,5.4762,0:01:33
fhEDIL7-7Es,Big Yellow Sun,"Dec 28, 2023",101,207,,29.1,14955,1,,,,0,0,0,4,2,66.67,1,207,1.6898,0:00:29
E0VCwjDaD6s,Low and Then High and Then Low,"Feb 19, 2024",183,201,,30.34,4139,3.36,,,,4,0,0,7,2,77.78,2,201,3.1002,0:00:55
UlhP9MQX_j8,Sun Hung Low,"Apr 17, 2024",214,194,,35.23,11643,1.13,,,,0,0,0,4,1,80,0,194,4.0624,0:01:15
b8DXZtBxPhg,Have You Tried Looking for Me in the Lost and Found?,"Dec 29, 2023",203,194,,30.14,13206,1.13,,,,0,0,0,6,0,100,0,194,3.297,0:01:01
pFZRxOSy9mE,It Certainly Does Suck (To Lose a Friend),"May 13, 2024",372,187,,23.28,11412,1.1,,,,0,0,0,8,1,88.89,2,187,4.4977,0:01:26
_68FYURtPX4,I Drempt I Had Coffee With Robert Zimmerman at the Bottom of Fools Lake,"Dec 10, 2023",161,178,,51.65,3864,2.67,,,,5,0,0,11,1,91.67,0,178,4.1115,0:01:23
h5D8rsCtEg0,Golden Rings and Things,"Dec 30, 2023",192,172,,31.41,13030,0.96,,,,0,0,0,4,0,100,1,172,2.8814,0:01:00
ijxRaiNuP9I,Im Not Gonna Crack (Just Kidding I Already Did),"Sep 2, 2024",254,171,,41.98,10813,0.78,,,,0,0,0,5,1,83.33,0,171,5.0653,0:01:46
Fs1AGTq7jls,Teenage Angst Has Not Paid off Well,"May 31, 2024",144,168,,59,5792,1.73,,,,1,0,0,6,1,85.71,0,168,3.9649,0:01:24
LWZgq9Zxw0k,Secret Pyramid Chamber,"Sep 18, 2024",75,163,,72.94,6555,0.96,,,,0,0,0,4,1,80,0,163,2.4768,0:00:54
0X96PaIQsIM,Nashville Weather,"Sep 13, 2024",99,160,,61.85,6351,1.13,,,,0,0,0,4,0,100,0,160,2.7213,0:01:01
QDXC_KrrzSk,When I Was Trapped,"Feb 23, 2024",124,153,,26.89,3626,1.88,,,,0,0,0,3,0,100,1,153,1.4172,0:00:33
wWX_9C46QrA,This Perfect World,"Mar 17, 2024",305,153,,39.61,7265,1,,,,0,0,0,7,0,100,1,153,5.1339,0:02:00
 -mO5c9RqW0Y,I Took a Face from the Ancient Gallery,"Oct 8, 2024",213,151,,62.25,4553,0.57,,,,0,0,0,2,0,100,0,151,5.5618,0:02:12
QaEKD7Gfpbc,I Dont Want My Regret I Dont Want Your Sympathy,"Dec 21, 2023",235,146,,34.25,9821,1.03,,,,0,0,0,5,1,83.33,0,146,3.2642,0:01:20
81tt0t9VFtg,I Dont Dream No More,"Sep 13, 2024",216,145,,66.8,5883,1,,,,1,0,0,4,0,100,0,145,5.8113,0:02:24
DA0Gqg1NivQ,Fly Away in the Martian Sky,"Jan 30, 2024",113,145,,28.75,13354,0.86,,,,0,0,0,5,0,100,0,145,1.3087,0:00:32
FrngFXfENi0,A Long Time Ago,"Feb 5, 2024",308,142,,25.69,8909,1.18,,,,1,0,0,5,0,100,1,142,3.121,0:01:19
XBXa2g4T53s,A Very Dumb Song,"Oct 3, 2024",98,142,,64.32,7731,0.54,,,,0,0,0,3,0,100,0,142,2.4864,0:01:03
nkBlj6YL1PM,Behind Smoking Glass,"May 15, 2024",383,142,,33.19,7368,1.09,,,,1,0,0,3,0,100,0,142,5.0148,0:02:07
8jCSsh9B0hs,Love,"Feb 23, 2024",207,136,,30.61,5003,1.5,,,,0,0,0,2,2,50,3,136,2.3935,0:01:03
HpL1J1gx9eE,The Sun King (Three Miles out of a Dream),"Sep 21, 2023",237,135,,22.81,3214,3.17,,,,1,0,0,7,0,100,0,135,2.027,0:00:54
CpEyCF5nBnE,For the First Part of the Journey,"Dec 29, 2023",151,132,,28.09,5988,1.19,,,,0,0,0,1,0,100,0,132,1.5551,0:00:42
kPHMBRUJbYo,Xanadu (Probably 1980),"Jan 24, 2025",69,132,,85.51,4957,0.87,,,,0,0,0,5,0,100,0,132,2.1634,0:00:59
y-U1hgocXaQ,resigned - the return of el ligardo,"Oct 9, 2025",12,132,0,129.67,303,0.33,,,,6,0,0,2,1,66.67,1,593,0.7101,0:00:15
r7oJvkS8XpE,That Time the Sun Melted,"Jan 25, 2024",222,130,,24.86,6207,1.61,,,,1,0,0,5,0,100,1,130,1.9933,0:00:55
5Sm0ZP9zkZg,Nothing Like the Rain,"Oct 8, 2024",224,129,,80.73,1299,2.85,,,,0,0,0,3,0,100,0,129,6.4799,0:03:00
K1TdpQq556w,Vendetta Llc,"Aug 27, 2024",127,127,,53.01,12663,0.52,,,,1,0,0,5,1,83.33,0,127,2.3749,0:01:07
hEY-49YMnds,The Eye in the Eye of the Storm,"Sep 2, 2024",194,127,,79.15,1065,5.07,,,,1,0,0,5,0,100,0,127,5.4168,0:02:33
LEuq2ogwQyM,Springsteen Summer of ‘92,"Aug 1, 2024",312,126,,28.43,3862,1.55,,,,0,0,0,4,1,80,0,126,3.1046,0:01:28
0MR41tGfUNM,Nothing Matters Now That Your Gone,"Feb 21, 2024",213,124,,21.07,7486,1.26,,,,0,0,0,2,0,100,0,124,1.5459,0:00:44
